actual_coverage,benign_coverage,attack_coverage,accepted_rows,abstained_rows,selective_risk,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1,attack_abstention_rate,accepted_false_negative_rate,seed,dataset,model,condition_type,missing_groups,desired_policy_coverage,confidence_cutoff,aurc
0.7811863255603351,0.8648748035970982,0.4531546878071152,117317,32861,0.0,1.0,1.0,1.0,1.0,0.5468453121928848,0.0,2027,source,ordinary_baseline,complete,,0.8,0.9999925032700044,5.089194572071484e-06
0.8793165443673507,0.9433691037341624,0.6282513267378628,132054,18124,0.0,1.0,1.0,1.0,1.0,0.3717486732621372,0.0,2027,source,ordinary_baseline,complete,,0.9,0.9999525181100614,5.089194572071484e-06
0.9506851869115316,0.9853408217163108,0.8148463604795911,142772,7406,0.0,1.0,1.0,1.0,1.0,0.1851536395204088,0.0,2027,source,ordinary_baseline,complete,,0.95,0.9996191215135498,5.089194572071484e-06
0.904000585971314,0.966193628188413,0.660224071283496,135761,14417,0.0,1.0,1.0,1.0,1.0,0.3397759287165039,0.0,2027,source,group_aware,complete,,0.8,0.9998136103081596,1.3666361186148762e-05
0.938200002663506,0.9921940293517868,0.7265609644237699,140897,9281,1.4194766389632142e-05,0.9999858052336104,0.999954912304432,0.999954912304432,0.999954912304432,0.2734390355762301,3.2758959575443885e-05,2027,source,group_aware,complete,,0.9,0.9985148348024138,1.3666361186148762e-05
0.9667394691632596,0.9966235416039848,0.8496036165891371,145183,4995,0.000241075056997,0.999758924943003,0.9989212513484358,0.9997300944669366,0.9993255092405234,0.1503963834108628,0.0002293127170281,2027,source,group_aware,complete,,0.95,0.9940159898170458,1.3666361186148762e-05
0.5122587862403282,0.6429478821916892,0.0,76930,73248,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2027,source,ordinary_baseline,single,G1_Packet_Byte_Magnitude,0.8,0.9999925032700044,0.0137683659077614
0.7390430023039327,0.9271804900879216,0.0016051890191967,110988,39190,0.0004414891700003,0.9995585108299996,0.0,0.0,0.0,0.9983948109808032,0.0016051890191967,2027,source,ordinary_baseline,single,G1_Packet_Byte_Magnitude,0.9,0.9999525181100614,0.0137683659077614
0.7833104715737325,0.97127503092301,0.0465504815567057,117636,32542,0.0120796354857356,0.9879203645142643,0.0,0.0,0.0,0.9534495184432944,0.0465504815567057,2027,source,ordinary_baseline,single,G1_Packet_Byte_Magnitude,0.95,0.9996191215135498,0.0137683659077614
0.7258053776185593,0.8406879951860395,0.275502850029483,109000,41178,0.0,1.0,1.0,1.0,1.0,0.724497149970517,0.0,2027,source,group_aware,single,G1_Packet_Byte_Magnitude,0.8,0.9998136103081596,1.94852308835425e-05
0.855904326865453,0.948885100123692,0.4914499115508091,128538,21640,0.0,1.0,1.0,1.0,1.0,0.5085500884491908,0.0,2027,source,group_aware,single,G1_Packet_Byte_Magnitude,0.9,0.9985148348024138,1.94852308835425e-05
0.9208406024850512,0.9796409587804632,0.6903623140929044,138290,11888,2.1693542555499318e-05,0.9999783064574445,0.9999525459118304,0.999905096327228,0.9999288205566232,0.3096376859070956,6.551791915088777e-05,2027,source,group_aware,single,G1_Packet_Byte_Magnitude,0.95,0.9940159898170458,1.94852308835425e-05
0.730286726417984,0.8792916123424598,0.1462359955447815,109673,40505,0.0,1.0,1.0,1.0,1.0,0.8537640044552185,0.0,2027,source,ordinary_baseline,single,G2_Temporal_Activity,0.8,0.9999925032700044,0.0004130676369914
0.8244150275006992,0.933431952662722,0.3971041079735307,123809,26369,8.076957248665283e-06,0.9999919230427512,0.9999175121669552,1.0,0.9999587543823468,0.6028958920264692,0.0,2027,source,ordinary_baseline,single,G2_Temporal_Activity,0.9,0.9999525181100614,0.0004130676369914
0.8530743517692339,0.9655751679871628,0.412107711459084,128113,22065,4.6833654664241725e-05,0.9999531663453356,0.9999204834605598,0.9996025437201908,0.9997614883129272,0.5878922885409159,0.0001637947978772,2027,source,ordinary_baseline,single,G2_Temporal_Activity,0.95,0.9996191215135498,0.0004130676369914
0.8207860006126064,0.8929645973322635,0.5378693572692131,123264,26914,0.0,1.0,1.0,1.0,1.0,0.4621306427307868,0.0,2027,source,group_aware,single,G2_Temporal_Activity,0.8,0.9998136103081596,1.949785355293236e-05
0.9071701580790796,0.9736736535954268,0.646498067221385,136237,13941,1.4680299771721338e-05,0.9999853197002284,0.999949328604003,0.999949328604003,0.999949328604003,0.3535019327786149,3.2758959575443885e-05,2027,source,group_aware,single,G2_Temporal_Activity,0.9,0.9985148348024138,1.949785355293236e-05
0.9626110349052458,0.9853157490054492,0.8736159339579375,144563,5615,0.00015218278536,0.99984781721464,0.9994002548916712,0.9997750112494376,0.999587597945488,0.1263840660420625,0.0001965537574526,2027,source,group_aware,single,G2_Temporal_Activity,0.95,0.9940159898170458,1.949785355293236e-05
0.7538520955133242,0.8623758900812356,0.3284740876629758,113212,36966,0.0,1.0,1.0,1.0,1.0,0.6715259123370242,0.0,2027,source,ordinary_baseline,single,G3_TCP_Control_Flags,0.8,0.9999925032700044,6.344461146025816e-06
0.8548988533606786,0.9409454083508842,0.5176243202515888,128387,21791,0.0,1.0,1.0,1.0,1.0,0.4823756797484111,0.0,2027,source,ordinary_baseline,single,G3_TCP_Control_Flags,0.9,0.9999525181100614,6.344461146025816e-06
0.9409234375208086,0.9838197439240464,0.7727838563847212,141306,8872,0.0,1.0,1.0,1.0,1.0,0.2272161436152787,0.0,2027,source,ordinary_baseline,single,G3_TCP_Control_Flags,0.95,0.9996191215135498,6.344461146025816e-06
0.8934597610835142,0.9567412161936282,0.6454170215553954,134178,16000,0.0,1.0,1.0,1.0,1.0,0.3545829784446046,0.0,2027,source,group_aware,single,G3_TCP_Control_Flags,0.8,0.9998136103081596,1.3254658905159267e-05
0.9300163805617334,0.9897034734062112,0.6960623730590316,139668,10510,7.159836182948134e-06,0.9999928401638172,1.0,0.999952936746988,0.9999764678197436,0.3039376269409684,3.2758959575443885e-05,2027,source,group_aware,single,G3_TCP_Control_Flags,0.9,0.9985148348024138,1.3254658905159267e-05
